Movie_Title,Time,Genre,Directors,Writers,Actors,Metascore,User_Rating,Number_of_Ratings,Budget,Box_Office_US,Box_Office_World,MPAA
The New Guy,88,Comedy,Ed Decter,David Kendall,DJ Qualls; Lyle Lovett; Eliza Dushku,24/100,5.5,"21,728","$13,000,000 ","$28,972,187 ",,PG-13
Frida,123,Biography; Drama; Romance,Julie Taymor,Hayden Herrera; Clancy Sigal,Salma Hayek; Alfred Molina; Geoffrey Rush,61/100,7.3,"41,549","$12,000,000 ","$25,776,062 ",,R
About Schmidt,125,Comedy; Drama,Alexander Payne,Louis Begley; Alexander Payne,Jack Nicholson; Hope Davis; Dermot Mulroney,85/100,7.2,"81,215","$30,000,000 ","$65,010,106 ","$22,700,000 ",R
Blue Crush,104,Drama; Romance; Sport,John Stockwell,Susan Orlean; Lizzy Weiss,Kate Bosworth; Michelle Rodriguez; Matthew Davis,61/100,5.5,"19,033","$30,000,000 ","$40,390,647 ","$11,209,000 ",PG-13
Naked Weapon,90,Action; Drama; Romance,Siu-Tung Ching,Jing Wong,Marit Thoresen; Almen Wong Pui-Ha; Daniel Wu,,5.6,"4,269",,,,R
Changing Lanes,98,Drama; Thriller,Roger Michell,Chap Taylor; Chap Taylor,Ben Affleck; Samuel L. Jackson; Kim Staunton,69/100,6.4,"42,727","$45,000,000 ","$66,790,248 ","$18,400,000 ",R
Cabin Fever,93,Horror,Eli Roth,Eli Roth; Randy Pearlstein,Jordan Ladd; Rider Strong; James DeBello,56/100,5.5,"44,501","$1,500,000 ","$21,156,247 ","$30,553,394 ",R
Windtalkers,134,Action; History; War,John Woo,John Rice; Joe Batteer,Nicolas Cage; Adam Beach; Peter Stormare,51/100,5.9,"39,103","$115,000,000 ","$40,911,830 ","$34,000,000 ",R
Spun,101,Comedy; Crime; Drama,Jonas kerlund,Will De Los Santos; Creighton Vero,Jason Schwartzman; John Leguizamo; Patrick Fugit,41/100,6.6,"24,539","$2,800,000 ","$410,241 ",,NC-17
Killing Me Softly,100,Drama; Mystery; Romance,Kaige Chen,Sean French; Kara Lindstrom,Heather Graham; Joseph Fiennes; Natascha McElhone,,5.3,"10,057","$25,000,000 ",,,R
Stuart Little 2,77,Animation; Adventure; Comedy,Rob Minkoff,E.B. White; Douglas Wick,Michael J. Fox; Geena Davis; Hugh Laurie,66/100,5.4,"19,975","$120,000,000 ","$64,736,114 ","$99,800,000 ",PG
K-19: The Widowmaker,138,Drama; History; Thriller,Kathryn Bigelow,Louis Nowra; Christopher Kyle,Harrison Ford; Sam Spruell; Peter Stebbings,58/100,6.5,"35,225","$100,000,000 ","$35,168,677 ","$30,547,160 ",PG-13
The Mothman Prophecies,119,Drama; Horror; Mystery,Mark Pellington,Richard Hatem; John A. Keel,Richard Gere; Laura Linney; David Eigenberg,52/100,6.4,"45,625","$32,000,000 ","$35,228,696 ",,PG-13
Spirit: Stallion of the Cimarron,83,Animation; Adventure; Comedy,Kelly Asbury,John Fusco,Matt Damon; James Cromwell; Daniel Studi,52/100,6.7,"22,297","$80,000,000 ","$73,215,310 ","$33,300,000 ",G
Undisputed,94,Action; Crime; Drama,Walter Hill,David Giler; Walter Hill,Wesley Snipes; Ving Rhames; Peter Falk,58/100,5.9,"13,152","$20,000,000 ","$12,398,628 ",,R
Dog Soldiers,105,Action; Horror,Neil Marshall,Neil Marshall,Sean Pertwee; Kevin McKidd; Emma Cleasby,,6.8,"33,880",,,,R
One Hour Photo,96,Drama; Thriller,Mark Romanek,Mark Romanek,Robin Williams; Connie Nielsen; Michael Vartan,64/100,6.8,"70,573","$12,000,000 ","$31,597,131 ","$19,500,000 ",R
Tuck Everlasting,90,Drama; Romance; Family,Jay Russell,Natalie Babbitt; Jeffrey Lieber,Alexis Bledel; Jonathan Jackson; Sissy Spacek,66/100,6.5,"12,011","$15,000,000 ","$19,158,074 ",,PG
High Crimes,115,Crime; Drama; Mystery,Carl Franklin,Joseph Finder; Yuri Zeltser,Jim Caviezel; Morgan Freeman; Ashley Judd,48/100,6.1,"21,206","$42,000,000 ","$41,543,207 ",,PG-13
Murder by Numbers,120,Crime; Drama; Thriller,Barbet Schroeder,Tony Gayton,Sandra Bullock; Ben Chaplin; Ryan Gosling,50/100,6,"31,230","$50,000,000 ","$31,874,869 ",,R
Bubba Ho-Tep,92,Comedy; Drama; Fantasy,Don Coscarelli,Joe R. Lansdale; Don Coscarelli,Bruce Campbell; Ossie Davis; Ella Joyce,57/100,7.1,"31,018","$1,000,000 ","$2,003,420 ",,R
The Good Girl,93,Comedy; Drama; Romance,Miguel Arteta,Mike White,Jennifer Aniston; Jake Gyllenhaal; Deborah Rush,71/100,6.5,"29,176","$5,000,000 ","$14,015,786 ",,R
Antwone Fisher,120,Biography; Drama; Romance,Denzel Washington,Antwone Fisher,Denzel Washington; Derek Luke; Joy Bryant,62/100,7.1,"19,039","$12,500,000 ","$21,078,145 ",,PG-13
Cube: Hypercube,95,Horror; Mystery; Sci-Fi,Andrzej Sekula,Sean Hood; Sean Hood,Kari Matchett; Geraint Wyn Davies; Grace Lynn Kung,,5.6,"33,050",,,,R
Finding Nemo,100,Animation; Adventure; Comedy,Andrew Stanton,Andrew Stanton; Andrew Stanton,Albert Brooks; Ellen DeGeneres; Alexander Gould,90/100,8.1,"352,590","$94,000,000 ","$41,123,892 ","$921,616,174 ",G
The Lord of the Rings: The Return of the King,201,Action; Adventure; Fantasy,Peter Jackson,J.R.R. Tolkien; Fran Walsh,Elijah Wood; Viggo Mortensen; Ian McKellen,94/100,8.9,"674,151","$94,000,000 ","$377,845,905 ","$1,119,929,521 ",PG-13
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,63/100,8,"458,328","$140,000,000 ","$305,413,918 ","$654,264,015 ",PG-13
Love Actually,135,Comedy; Drama; Romance,Richard Curtis,Richard Curtis,Hugh Grant; Martine McCutcheon; Liam Neeson,55/100,7.7,"197,027","&#163;30,000,000","$59,365,105 ","$185,235,622 ",R
Big Fish,125,Adventure; Drama; Fantasy,Tim Burton,Daniel Wallace; John August,Ewan McGregor; Albert Finney; Billy Crudup,58/100,8,"254,467","$70,000,000 ","$66,257,002 ","$122,919,055 ",PG-13
Kill Bill: Vol. 1,111,Action; Crime; Thriller,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,69/100,8.2,"420,653","$30,000,000 ","$70,099,045 ","$180,949,045 ",R
Oldeuboi,120,Drama; Mystery; Thriller,Chan-wook Park,Garon Tsuchiya; Nobuaki Minegishi,Min-sik Choi; Ji-tae Yu; Hye-jeong Kang,74/100,8.4,"189,796","$3,000,000 ","$707,481 ","$14,980,005 ",R
The Matrix Reloaded,138,Action; Sci-Fi,Andy Wachowski,Andy Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,62/100,7.1,"273,732","$150,000,000 ","$281,492,479 ","$742,128,461 ",R
Mystic River,138,Crime; Drama; Mystery,Clint Eastwood,Brian Helgeland; Dennis Lehane,Sean Penn; Tim Robbins; Kevin Bacon,84/100,8,"226,127","$30,000,000 ","$90,135,191 ","$8,420,673 ",R
Old School,91,Comedy,Todd Phillips,Court Crandall; Todd Phillips,Luke Wilson; Vince Vaughn; Will Ferrell,54/100,7.1,"128,965","$24,000,000 ","$74,608,545 ","$11,356,416 ",R
X2,133,Action; Adventure; Sci-Fi,Bryan Singer,Zak Penn; David Hayter,Patrick Stewart; Hugh Jackman; Halle Berry,68/100,7.6,"227,242","$110,000,000 ","$214,948,780 ","$191,450,819 ",PG-13
Underworld,121,Action; Fantasy; Thriller,Len Wiseman,Kevin Grevioux; Len Wiseman,Kate Beckinsale; Scott Speedman; Shane Brolly,42/100,6.9,"136,465","$22,000,000 ","$51,970,690 ","$95,708,457 ",R
Identity,90,Mystery; Thriller,James Mangold,Michael Cooney,John Cusack; Ray Liotta; Amanda Peet,64/100,7.2,"113,303","$30,000,000 ","$51,475,962 ","$38,100,000 ",R
Lost in Translation,101,Drama,Sofia Coppola,Sofia Coppola,Bill Murray; Scarlett Johansson; Giovanni Ribisi,89/100,7.8,"215,488","$4,000,000 ","$44,566,004 ",,R
The Matrix Revolutions,129,Action; Adventure; Sci-Fi,Andy Wachowski,Andy Wachowski; Lana Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,47/100,6.6,"235,236","$110,000,000 ","$139,259,759 ","$275,125,460 ",R
The Italian Job,111,Action; Crime; Thriller,F. Gary Gray,Troy Kennedy-Martin; Donna Powers,Donald Sutherland; Mark Wahlberg; Edward Norton,68/100,6.9,"179,403","$60,000,000 ","$106,126,012 ","$54,548,734 ",PG-13
The Last Samurai,154,Action; Adventure; Drama,Edward Zwick,John Logan; John Logan,Tom Cruise; Ken Watanabe; Billy Connolly,55/100,7.7,"201,235","$140,000,000 ","$111,110,575 ","$456,758,981 ",R
Hulk,138,Action; Sci-Fi,Ang Lee,Stan Lee; Jack Kirby,Eric Bana; Jennifer Connelly; Sam Elliott,54/100,5.7,"131,284","$137,000,000 ","$132,122,995 ","$109,405,772 ",PG-13
The School of Rock,108,Comedy; Music,Richard Linklater,Mike White,Jack Black; Mike White; Joan Cusack,82/100,7,"124,970","$35,000,000 ","$81,257,845 ",,PG-13
American Wedding,96,Comedy; Romance,Jesse Dylan,Adam Herz; Adam Herz,Jason Biggs; Alyson Hannigan; Seann William Scott,43/100,6.1,"107,685","$55,000,000 ","$104,565,114 ","$122,668,512 ",R
The Dreamers,115,Drama; Romance,Bernardo Bertolucci,Gilbert Adair; Gilbert Adair,Michael Pitt; Louis Garrel; Eva Green,62/100,7.1,"47,037",,"$2,531,462 ","$14,082,883 ",NC-17
Terminator 3: Rise of the Machines,109,Action; Sci-Fi; Thriller,Jonathan Mostow,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Nick Stahl; Kristanna Loken,66/100,6.4,"190,724","$200,000,000 ","$150,350,192 ","$277,271,324 ",R
Peter Pan,113,Adventure; Family; Fantasy,P.J. Hogan,J.M. Barrie; P.J. Hogan,Jeremy Sumpter; Jason Isaacs; Olivia Williams,64/100,6.8,"33,686","$100,000,000 ","$48,417,850 ","$121,975,011 ",PG
Bruce Almighty,101,Comedy; Drama; Fantasy,Tom Shadyac,Steve Koren; Mark O'Keefe,Jim Carrey; Jennifer Aniston; Morgan Freeman,46/100,6.6,"179,153","$81,000,000 ","$242,589,580 ","$484,592,874 ",PG-13
Once Upon a Time in Mexico,102,Action; Thriller,Robert Rodriguez,Robert Rodriguez,Antonio Banderas; Salma Hayek; Johnny Depp,56/100,6.3,"91,333","$29,000,000 ","$55,845,943 ","$41,825,802 ",R
2 Fast 2 Furious,107,Action; Crime; Thriller,John Singleton,Gary Scott Thompson; Michael Brandt,Paul Walker; Tyrese Gibson; Cole Hauser,38/100,5.4,"95,444","$76,000,000 ","$127,154,901 ","$107,376,377 ",PG-13
Thirteen,100,Biography; Drama,Catherine Hardwicke,Catherine Hardwicke; Nikki Reed,Evan Rachel Wood; Holly Hunter; Nikki Reed,70/100,6.9,"48,705","$1,500,000 ","$4,599,680 ",,R
How to Lose a Guy in 10 Days,116,Comedy; Romance,Donald Petrie,Michele Alexander; Jeannie Long,Kate Hudson; Matthew McConaughey; Adam Goldberg,45/100,6.2,"84,592","$50,000,000 ","$105,807,520 ","$177,085,826 ",PG-13
Master and Commander: The Far Side of the World,138,Action; Adventure; Drama,Peter Weir,Patrick O'Brian; Peter Weir,Russell Crowe; Paul Bettany; Billy Boyd,81/100,7.4,"117,674","$150,000,000 ","$93,926,386 ",,PG-13
Lara Croft Tomb Raider: The Cradle of Life,117,Action; Adventure; Fantasy,Jan de Bont,Dean Georgaris; Steven E. de Souza,Angelina Jolie; Gerard Butler; Chris Barrie,43/100,5.3,"65,248","$95,000,000 ","$65,660,196 ","$156,505,388 ",PG-13
Elf,97,Comedy; Family; Fantasy,Jon Favreau,David Berenbaum,Will Ferrell; James Caan; Bob Newhart,64/100,6.8,"86,336","$33,000,000 ","$173,381,405 ","$220,443,451 ",PG
Anger Management,106,Comedy,Peter Segal,David Dorfman,Jack Nicholson; Adam Sandler; Marisa Tomei,52/100,6.1,"118,406","$75,000,000 ","$133,756,285 ","$58,689,545 ",PG-13
Bad Boys II,147,Action; Comedy; Crime,Michael Bay,George Gallo; Marianne Wibberley,Will Smith; Martin Lawrence; Gabrielle Union,38/100,6.3,"113,242","$130,000,000 ","$138,396,624 ","$129,300,000 ",R
Daredevil,103,Action; Crime; Fantasy,Mark Steven Johnson,Mark Steven Johnson,Ben Affleck; Jennifer Garner; Colin Farrell,42/100,5.4,"110,140","$78,000,000 ","$102,543,518 ","$76,234,291 ",PG-13
Cold Mountain,154,Drama; Romance; War,Anthony Minghella,Charles Frazier; Anthony Minghella,Jude Law; Nicole Kidman; Rene Zellweger,73/100,7.2,"84,417","$83,000,000 ","$95,632,614 ","$173,013,509 ",R
The League of Extraordinary Gentlemen,110,Action; Adventure; Fantasy,Stephen Norrington,Alan Moore; Kevin O'Neill,Sean Connery; Stuart Townsend; Peta Wilson,30/100,5.6,"89,386","$78,000,000 ","$66,465,204 ","$175,465,204 ",PG-13
Monster,109,Biography; Crime; Drama,Patty Jenkins,Patty Jenkins,Charlize Theron; Christina Ricci; Bruce Dern,74/100,7.3,"69,735","$8,000,000 ","$34,469,210 ","$25,909,374 ",R
Scary Movie 3,84,Comedy,David Zucker,Craig Mazin; Pat Proft,Anna Faris; Charlie Sheen; Regina Hall,49/100,5.3,"74,312","$45,000,000 ","$110,000,082 ","$110,670,000 ",PG-13
Holes,117,Adventure; Comedy; Drama,Andrew Davis,Louis Sachar; Louis Sachar,Shia LaBeouf; Sigourney Weaver; Jon Voight,71/100,7,"33,878","$20,000,000 ","$67,406,573 ","$71,406,573 ",PG
Wrong Turn,84,Horror; Thriller,Rob Schmidt,Alan B. McElroy,Eliza Dushku; Jeremy Sisto; Emmanuelle Chriqui,32/100,6,"55,540","$10,000,000 ","$15,417,771 ","$8,922,208 ",R
The Rundown,104,Action; Adventure; Comedy,Peter Berg,R.J. Stewart; R.J. Stewart,Dwayne Johnson; Seann William Scott; Christopher Walken,59/100,6.6,"55,988","$85,000,000 ","$47,592,825 ",,PG-13
21 Grams,124,Crime; Drama; Thriller,Alejandro Gonzlez Irritu,Guillermo Arriaga,Sean Penn; Benicio Del Toro; Naomi Watts,70/100,7.7,"132,079","$20,000,000 ","$16,248,701 ",,R
Timeline,116,Action; Adventure; Sci-Fi,Richard Donner,Michael Crichton; Jeff Maguire,Paul Walker; Gerard Butler; Billy Connolly,28/100,5.4,"38,204","$80,000,000 ","$19,480,739 ","$24,453,820 ",PG-13
Cheaper by the Dozen,98,Comedy; Family,Shawn Levy,Frank B. Gilbreth Jr.; Ernestine Gilbreth Carey,Steve Martin; Bonnie Hunt; Hilary Duff,46/100,5.6,"47,175","$40,000,000 ","$138,614,544 ","$190,212,113 ",PG
The Texas Chainsaw Massacre,98,Horror,Marcus Nispel,Kim Henkel; Tobe Hooper,Jessica Biel; Jonathan Tucker; Andrew Bryniarski,38/100,6.1,"73,735","$9,200,000 ","$80,148,261 ","$107,071,655 ",R
Paycheck,119,Sci-Fi; Thriller; Action,John Woo,Philip K. Dick; Dean Georgaris,Ben Affleck; Aaron Eckhart; Uma Thurman,43/100,6.1,"64,743","$60,000,000 ","$53,789,313 ","$96,269,812 ",PG-13
The Recruit,115,Action; Crime; Drama,Roger Donaldson,Roger Towne; Kurt Wimmer,Al Pacino; Colin Farrell; Bridget Moynahan,56/100,6.5,"77,933",,"$52,784,696 ","$45,376,882 ",PG-13
Under the Tuscan Sun,113,Comedy; Drama; Romance,Audrey Wells,Frances Mayes; Audrey Wells,Diane Lane; Raoul Bova; Sandra Oh,52/100,6.6,"23,162","$18,000,000 ","$43,610,723 ","$58,878,723 ",PG-13
Tears of the Sun,121,Action; Drama; Thriller,Antoine Fuqua,Alex Lasker; Patrick Cirillo,Bruce Willis; Cole Hauser; Monica Bellucci,48/100,6.5,"62,114","$70,000,000 ","$43,426,961 ","$42,733,286 ",R
S.W.A.T.,117,Action; Crime; Thriller,Clark Johnson,Robert Hamner; Ron Mita,Samuel L. Jackson; Colin Farrell; Michelle Rodriguez,45/100,5.9,"84,082","$80,000,000 ","$116,643,346 ","$207,725,639 ",PG-13
House of 1000 Corpses,89,Horror,Rob Zombie,Rob Zombie,Sid Haig; Karen Black; Bill Moseley,31/100,5.8,"41,977","$7,000,000 ","$12,634,962 ","$16,829,545 ",R
Brother Bear,85,Animation; Adventure; Family,Aaron Blaise,Tab Murphy; Lorne Cameron,Joaquin Phoenix; Jeremy Suarez; Rick Moranis,48/100,6.6,"34,522",,"$85,329,248 ",,G
Johnny English,87,Action; Adventure; Comedy,Peter Howitt,Neal Purvis; Robert Wade,Rowan Atkinson; John Malkovich; Natalie Imbruglia,51/100,5.9,"73,155","$35,000,000 ","$27,972,410 ","$129,300,000 ",PG
Something's Gotta Give,128,Comedy; Romance,Nancy Meyers,Nancy Meyers,Jack Nicholson; Diane Keaton; Keanu Reeves,66/100,6.7,"62,865",,"$124,590,960 ",,PG-13
Memories of Murder,132,Crime; Drama; Mystery,Joon-ho Bong,Joon-ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,82/100,8.1,"27,517",,"$14,131 ",,
Cradle 2 the Grave,101,Action; Crime; Drama,Andrzej Bartkowiak,John O'Brien; John O'Brien,Jet Li; DMX; Mark Dacascos,36/100,5.6,"24,523","$30,000,000 ","$34,604,054 ","$56,489,558 ",R
Freaky Friday,97,Comedy; Family; Fantasy,Mark Waters,Mary Rodgers; Heather Hach,Jamie Lee Curtis; Lindsay Lohan; Mark Harmon,70/100,6.1,"59,215","$26,000,000 ","$110,230,332 ","$160,846,332 ",PG
A Tale of Two Sisters,115,Drama; Horror; Mystery,Jee-woon Kim,Jee-woon Kim,Kap-su Kim; Jung-ah Yum; Su-jeong Lim,65/100,7.2,"28,327",,,,R
The Room,99,Drama,Tommy Wiseau,Tommy Wiseau,Tommy Wiseau; Juliette Danielle; Greg Sestero,,3.3,"14,433","$6,000,000 ",,,R
Secondhand Lions,109,Comedy; Drama; Family,Tim McCanlies,Tim McCanlies,Haley Joel Osment; Michael Caine; Robert Duvall,52/100,7.5,"30,094","$30,000,000 ","$41,407,470 ",,PG
"Spring, Summer, Fall, Winter... and Spring",103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim; Yeong-su Oh; Jong-ho Kim,85/100,8.1,"37,070",,"$2,380,788 ",,R
Daddy Day Care,92,Comedy; Family,Steve Carr,Geoff Rodkey,Eddie Murphy; Jeff Garlin; Anjelica Huston,39/100,5.4,"30,493","$60,000,000 ","$104,148,781 ","$52,200,000 ",PG
Love Me If You Dare,93,Comedy; Drama; Romance,Yann Samuell,Yann Samuell,Guillaume Canet; Marion Cotillard; Thibault Verhaeghe,45/100,7.6,"34,946",,"$548,707 ",,R
Matchstick Men,116,Comedy; Crime; Drama,Ridley Scott,Eric Garcia; Nicholas Griffin,Nicolas Cage; Alison Lohman; Sam Rockwell,61/100,7.3,"76,528",,"$36,873,198 ","$28,659,212 ",PG-13
Charlie's Angels: Full Throttle,106,Action; Adventure; Comedy,McG,Ivan Goff; Ben Roberts,Drew Barrymore; Lucy Liu; Cameron Diaz,48/100,4.7,"72,828","$120,000,000 ","$100,685,880 ","$158,345,677 ",PG-13
The Life of David Gale,130,Drama; Crime; Thriller,Alan Parker,Charles Randolph,Kevin Spacey; Kate Winslet; Laura Linney,31/100,7.4,"59,278","$50,000,000 ","$19,593,740 ","$16,971,092 ",R
Final Destination 2,90,Horror; Mystery,David R. Ellis,J. Mackye Gruber; Eric Bress,A.J. Cook; Ali Larter; Tony Todd,38/100,6.2,"77,706","$26,000,000 ","$46,455,802 ","$42,729,562 ",R
Mona Lisa Smile,117,Drama,Mike Newell,Lawrence Konner; Mark Rosenthal,Julia Roberts; Kirsten Dunst; Julia Stiles,45/100,6.2,"42,275","$65,000,000 ","$63,695,760 ",,PG-13
Gothika,98,Thriller,Mathieu Kassovitz,Sebastian Gutierrez,Halle Berry; Penlope Cruz; Robert Downey Jr.,38/100,5.7,"62,311","$40,000,000 ","$59,588,068 ","$141,591,324 ",R
Dreamcatcher,134,Drama; Horror; Sci-Fi,Lawrence Kasdan,Stephen King; William Goldman,Morgan Freeman; Thomas Jane; Jason Lee,35/100,5.4,"54,360","$68,000,000 ","$33,685,268 ","$40,904,356 ",R
Dogville,178,Drama,Lars von Trier,Lars von Trier,Nicole Kidman; Paul Bettany; Lauren Bacall,59/100,7.9,"74,671","DKK 83,000,000","$1,530,386 ","$8,604,712 ",R
Bad Santa,91,Comedy; Crime,Terry Zwigoff,Glenn Ficarra; John Requa,Billy Bob Thornton; Bernie Mac; Lauren Graham,70/100,7.1,"74,071","$18,000,000 ","$60,057,639 ",,R
Freddy vs. Jason,97,Action; Crime; Horror,Ronny Yu,Wes Craven; Victor Miller,Robert Englund; Ken Kirzinger; Kelly Rowland,37/100,5.7,"62,485","$25,000,000 ","$82,163,317 ","$18,000,000 ",R
Runaway Jury,127,Drama; Thriller,Gary Fleder,John Grisham; Brian Koppelman,John Cusack; Rachel Weisz; Gene Hackman,61/100,7,"56,784","$60,000,000 ","$49,440,996 ","$67,338,219 ",PG-13
Good Bye Lenin!,121,Comedy; Drama; Romance,Wolfgang Becker,Bernd Lichtenberg; Wolfgang Becker,Daniel Brhl; Katrin Sa; Chulpan Khamatova,68/100,7.7,"72,119","&#8364;4,800,000","$4,063,859 ","$55,694,557 ",R
What a Girl Wants,105,Comedy; Drama; Romance,Dennie Gordon,William Douglas-Home; William Douglas-Home,Amanda Bynes; Colin Firth; Kelly Preston,41/100,5.7,"27,940","$20,000,000 ","$35,990,505 ","$14,622,111 ",PG
The Core,135,Action; Adventure; Sci-Fi,Jon Amiel,Cooper Layne; John Rogers,Aaron Eckhart; Hilary Swank; Delroy Lindo,48/100,5.3,"53,169","$60,000,000 ","$31,111,260 ","$41,559,648 ",PG-13
Shanghai Knights,114,Action; Adventure; Comedy,David Dobkin,Alfred Gough; Miles Millar,Jackie Chan; Owen Wilson; Fann Wong,58/100,6.1,"50,930","$50,000,000 ","$60,470,220 ","$24,681,902 ",PG-13
A Man Apart,109,Action; Crime; Drama,F. Gary Gray,Christian Gudegast; Paul Scheuring,Vin Diesel; Timothy Olyphant; Larenz Tate,36/100,5.9,"27,191","$36,000,000 ","$26,183,197 ","$44,350,926 ",R
Dr. Seuss' The Cat in the Hat,82,Adventure; Comedy; Family,Bo Welch,Dr. Seuss; Alec Berg,Mike Myers; Spencer Breslin; Dakota Fanning,19/100,3.6,"24,660","$109,000,000 ","$100,446,895 ",,PG
Ong-bak,105,Action; Thriller,Prachya Pinkaew,Prachya Pinkaew; Panna Rittikrai,Tony Jaa; Petchtai Wongkamlao; Pumwaree Yodkamol,69/100,7.2,"41,966",,"$4,560,061 ",,R
Open Range,139,Action; Romance; Western,Kevin Costner,Lauran Paine; Craig Storper,Kevin Costner; Robert Duvall; Diego Luna,67/100,7.4,"38,839","$26,000,000 ","$58,328,680 ","$68,296,293 ",R
Bringing Down the House,105,Comedy,Adam Shankman,Jason Filardi,Steve Martin; Queen Latifah; Eugene Levy,39/100,5.4,"23,020","$33,000,000 ","$132,541,238 ","$31,955,288 ",PG-13
Malibu's Most Wanted,86,Comedy; Crime,John Whitesell,Fax Bahr; Adam Small,Jamie Kennedy; Ryan O'Neal; Blair Underwood,43/100,4.8,"12,229","$16,000,000 ","$34,308,901 ",,PG-13
"Legally Blonde 2: Red, White &amp; Blonde",95,Comedy,Charles Herman-Wurmfeld,Amanda Brown; Eve Ahlert,Reese Witherspoon; Sally Field; Bob Newhart,47/100,4.3,"28,895","$45,000,000 ","$89,808,372 ","$30,200,000 ",PG-13
Girl with a Pearl Earring,100,Biography; Drama; Romance,Peter Webber,Tracy Chevalier; Olivia Hetreed,Scarlett Johansson; Colin Firth; Tom Wilkinson,72/100,7,"41,321",,"$11,634,362 ",,PG-13
Bulletproof Monk,104,Action; Comedy; Fantasy,Paul Hunter,Ethan Reiff; Cyrus Voris,Yun-Fat Chow; Seann William Scott; Jaime King,40/100,5.3,"30,808","$52,000,000 ","$23,020,488 ","$13,960,630 ",PG-13
High Tension,91,Horror; Mystery; Thriller,Alexandre Aja,Alexandre Aja; Grgory Levasseur,Ccile De France; Mawenn; Philippe Nahon,42/100,6.8,"38,054","&#8364;2,200,000","$3,645,438 ",,R
Honey,94,Drama; Music; Romance,Bille Woodruff,Alonzo Brown; Kim Watson,Jessica Alba; Mekhi Phifer; Romeo Miller,37/100,4.9,"25,057","$25,000,000 ","$30,222,640 ",,PG-13
Intolerable Cruelty,100,Comedy; Crime; Romance,Joel Coen,Robert Ramsey; Matthew Stone,George Clooney; Catherine Zeta-Jones; Billy Bob Thornton,71/100,6.3,"54,488","$60,000,000 ","$35,327,628 ","$119,940,815 ",PG-13
Spy Kids 3-D: Game Over,84,Action; Adventure; Comedy,Robert Rodriguez,Robert Rodriguez,Daryl Sabara; Alexa Vega; Antonio Banderas,57/100,4,"24,080","$39,000,000 ","$111,760,631 ",,PG
Out of Time,105,Crime; Drama; Thriller,Carl Franklin,David Collard,Denzel Washington; Sanaa Lathan; Eva Mendes,63/100,6.4,"31,977","$50,000,000 ","$40,905,277 ",,R
Basic,98,Crime; Drama; Mystery,John McTiernan,James Vanderbilt,John Travolta; Samuel L. Jackson; Connie Nielsen,34/100,6.4,"37,097","$50,000,000 ","$26,536,120 ","$15,999,250 ",R
The Station Agent,89,Comedy; Drama,Thomas McCarthy,Thomas McCarthy,Peter Dinklage; Patricia Clarkson; Bobby Cannavale,81/100,7.7,"36,988","$500,000 ","$5,739,376 ",,R
Seabiscuit,140,Drama; History; Sport,Gary Ross,Laura Hillenbrand; Gary Ross,Tobey Maguire; Jeff Bridges; Elizabeth Banks,72/100,7.3,"43,882","$87,000,000 ","$120,277,854 ","$148,336,445 ",PG-13
Just Married,95,Comedy; Romance,Shawn Levy,Sam Harper,Ashton Kutcher; Brittany Murphy; Christian Kane,28/100,5.3,"39,182","$18,000,000 ","$56,127,162 ","$101,564,935 ",PG-13
Down with Love,101,Comedy; Romance,Peyton Reed,Eve Ahlert; Dennis Drake,Ewan McGregor; Rene Zellweger; David Hyde Pierce,52/100,6.2,"26,128",,"$20,298,207 ","$14,000,000 ",PG-13
My Life Without Me,106,Drama; Romance,Isabel Coixet,Isabel Coixet; Nanci Kincaid,Sarah Polley; Scott Speedman; Mark Ruffalo,57/100,7.5,"16,142","&#8364;2,000,000","$395,592 ",,R
Deliver Us from Eva,105,Comedy; Drama; Romance,Gary Hardwick,James Iver Mattson; B.E. Brauner,Gabrielle Union; LL Cool J; Essence Atkins,46/100,5.7,"3,211",,"$17,334,912 ",,R
The Lizzie McGuire Movie,94,Adventure; Comedy; Family,Jim Fall,Susan Estelle Jansen; Ed Decter,Hilary Duff; Adam Lamberg; Clayton Snyder,56/100,4.9,"16,514","$17,000,000 ","$42,672,630 ","$11,273,034 ",PG
The Notebook,123,Drama; Romance,Nick Cassavetes,Jeremy Leven; Jan Sardi,Gena Rowlands; James Garner; Rachel McAdams,53/100,7.9,"223,711","$29,000,000 ","$81,001,787 ","$115,603,229 ",PG-13
Mean Girls,97,Comedy,Mark Waters,Rosalind Wiseman; Tina Fey,Lindsay Lohan; Jonathan Bennett; Rachel McAdams,66/100,6.9,"133,580","$17,000,000 ","$86,049,418 ","$34,600,000 ",PG-13
